city,state,population_male,population_female,literates_male,literates_female,sex_ratio,child_sex_ratio,male_graduates,female_graduates
Abohar,PUNJAB,76840,68398,58347,44972,890,848,8612,7675
Achalpur,MAHARASHTRA,58256,54037,49347,43086,928,909,5269,3594
Adilabad,ANDHRA PRADESH,59232,58156,46295,37660,982,947,6797,3768
Adityapur,JHARKHAND,91495,82493,71470,54515,902,910,12189,7036
Adoni,ANDHRA PRADESH,82743,83794,56203,45089,1013,968,7871,4031
Agartala,TRIPURA,199616,200072,174524,169109,1002,940,30215,22496
Agra,UTTAR PRADESH,849771,724771,503805,376725,853,772,106082,79731
Ahmedabad,GUJARAT,2935869,2634716,2459823,2004480,897,853,435267,334591
Ahmadnagar,MAHARASHTRA,179755,171150,152819,134649,952,859,29832,21829
Aizawl,MIZORAM,143803,148019,125256,128332,1029,989,14900,11932
Ajmer,RAJASTHAN,278786,263794,230586,192327,946,884,42454,35535
Akbarpur,UTTAR PRADESH,57560,54034,42208,32854,939,937,5811,3934
Akola,MAHARASHTRA,218184,208962,183594,164093,958,899,28812,20903
Alandur,TAMIL NADU,82190,81972,72755,69660,997,975,25463,20508
Alappuzha,KERALA,83888,90276,74454,78815,1076,945,9900,12363
Aligarh,UTTAR PRADESH,463123,409452,303886,230083,884,875,55965,43376
Allahabad,UTTAR PRADESH,601363,515731,493181,384409,858,876,138248,94881
Alwar,RAJASTHAN,166900,148410,138737,104897,889,833,35297,23467
Ambala,HARYANA,103533,92683,85004,70776,895,834,17809,17134
Ambala Sadar,HARYANA,54241,50027,43444,39792,922,841,10689,9929
Ambarnath,MAHARASHTRA,133006,120997,111273,90434,910,906,14444,12152
Ambattur,TAMIL NADU,241181,236953,208748,192505,982,960,52224,44962
Ambikapur,CHHATTISGARH,59673,54902,48950,40640,920,887,12369,8488
Ambur,TAMIL NADU,56052,57804,45439,42870,1031,955,5076,2737
Amravati,MAHARASHTRA,330544,316257,284490,259078,957,910,51456,40540
Amreli,GUJARAT,55166,50814,46721,39254,921,835,6579,4726
Amritsar,PUNJAB,602754,530007,478062,394465,879,824,69241,71118
Amroha,UTTAR PRADESH,102804,94331,60621,48151,918,946,7635,6244
Anand,GUJARAT,102359,94992,88444,77767,928,881,17331,12472
Anantapur,ANDHRA PRADESH,131506,130834,105452,90000,995,904,27392,16308
Anantnag,JAMMU & KASHMIR,56030,52475,39591,31817,937,874,7291,5375
Arrah,BIHAR,139319,121780,107822,81258,874,875,25045,10309
Asansol,WEST BENGAL,293748,270743,236683,194617,922,908,40231,25394
Ashoknagar Kalyangarh,WEST BENGAL,62554,61352,55398,50939,981,947,7093,4899
Aurangabad,BIHAR,53307,48213,42338,33458,904,893,9371,3770
Aurangabad,MAHARASHTRA,610377,560953,497404,411321,919,859,96576,62732
Avadi,TAMIL NADU,175055,169646,145729,130152,969,965,27742,23905
Azamgarh,UTTAR PRADESH,58033,52947,46587,38421,912,860,11691,8220
Badlapur,MAHARASHTRA,91695,83821,78910,67349,914,890,13878,11237
Bagaha,BIHAR,59946,53066,34751,22247,885,946,2756,988
Bagalkot,KARNATAKA,56837,55231,46623,39237,972,915,9038,5052
Bahadurgarh,HARYANA,91736,78690,75714,56394,858,784,13025,9496
Baharampur,WEST BENGAL,100431,94932,86535,77910,945,962,19679,12475
Bahraich,UTTAR PRADESH,98529,87712,66544,56058,890,895,11537,8953
Baidyabati,WEST BENGAL,62550,58531,53217,47373,936,958,10311,6913
Baleshwar Town,ORISSA,60308,57894,50372,44712,960,955,14071,9099
Ballia,UTTAR PRADESH,55706,48565,45467,35497,872,868,10252,5862
Bally,WEST BENGAL,156734,135238,119508,97394,863,1185,22170,13930
Bally City,WEST BENGAL,59951,55764,51534,44131,930,964,7562,4792
Balurghat,WEST BENGAL,75677,75506,66954,63276,998,974,14538,9194
Banda,UTTAR PRADESH,82215,72173,64871,48986,878,893,15215,8800
Bankura,WEST BENGAL,70734,67302,60272,50801,951,956,12321,6761
Bansberia,WEST BENGAL,53807,49992,44671,36843,929,930,5264,3302
Banswara,RAJASTHAN,51240,48888,41404,35034,954,855,7837,6015
Baran,RAJASTHAN,61360,56797,48209,35670,926,893,7362,4191
Baranagar,WEST BENGAL,128432,120034,114347,101502,935,947,28274,21437
Barasat,WEST BENGAL,143732,139711,123692,113189,972,964,27143,18373
Baraut,UTTAR PRADESH,54521,48212,39900,29659,884,832,7191,5481
Barddhaman,WEST BENGAL,160631,154007,138067,122497,959,940,32325,20062
Bareilly,UTTAR PRADESH,477438,420729,316385,247234,881,890,61065,49626
Baripada Town,ORISSA,57008,53050,48388,41033,931,900,10953,6636
Barnala,PUNJAB,62302,54152,46100,36247,869,830,6213,6452
Barrackpur,WEST BENGAL,79507,74968,68159,60300,943,922,17514,12396
Barshi,MAHARASHTRA,60857,57716,49965,41295,948,845,8564,4787
Basirhat,WEST BENGAL,64397,62738,53913,48824,974,947,12083,7954
Basti,UTTAR PRADESH,60126,54525,48473,38592,907,921,12071,8112
Batala,PUNJAB,82459,73941,66101,55037,897,831,8120,8316
Bathinda,PUNJAB,151782,134031,118888,92430,883,865,22471,20957
Beawar,RAJASTHAN,74946,70863,61229,48882,946,880,8257,5510
Begusarai,BIHAR,133931,117205,96459,72702,875,897,16492,8124
Belgaum,KARNATAKA,246407,241885,208546,188190,982,936,37682,26518
Bellary,KARNATAKA,206026,203618,153275,128493,988,957,23011,13844
Bangalore,KARNATAKA,4401299,4024671,3664959,3110983,914,940,908363,682800
Bettiah,BIHAR,70381,62515,52547,42116,888,880,9372,4066
Betul,MADHYA PRADESH,52902,50439,44429,38927,953,907,9918,7207
Bhadrak,ORISSA,55094,52275,41628,35300,949,949,8191,5120
Bhadravati,KARNATAKA,75020,75756,62199,56247,1010,975,7066,5340
Bhadreswar,WEST BENGAL,53318,48016,44493,35756,901,921,5743,3482
Bhagalpur,BIHAR,212005,186133,157049,122420,878,916,33692,15964
Bhalswa Jahangir Pur,NCT OF DELHI,106271,90879,76114,54303,855,884,5164,3184
Bharatpur,RAJASTHAN,134088,118021,105642,75517,880,829,20734,12677
Bharuch,GUJARAT,86887,81842,71671,62125,942,916,8210,5849
Bhatpara,WEST BENGAL,207876,182591,172042,135320,878,925,18147,10908
Bhavnagar,GUJARAT,309447,284321,251860,203382,919,838,30315,21560
Bhilai Nagar,CHHATTISGARH,322254,303443,267487,219755,942,917,43751,37869
Bhilwara,RAJASTHAN,187952,172057,150306,114456,915,893,24856,16932
Bhimavaram,ANDHRA PRADESH,70066,72214,55523,53012,1031,977,11541,6757
Bhind,MADHYA PRADESH,105394,91938,83903,61627,872,838,13748,6722
Bhiwadi,RAJASTHAN,59757,45126,44697,26290,755,859,6331,3804
Bhiwandi,MAHARASHTRA,418478,292851,314906,192816,700,934,14404,10284
Bhiwani,HARYANA,105372,92290,84028,63779,876,809,17068,11055
Bhopal,MADHYA PRADESH,939560,856088,741737,612482,911,917,155418,127395
Bhubaneswar Town,ORISSA,445233,392504,388164,322079,882,902,121563,79225
Bhuj,GUJARAT,77900,69223,64172,50650,889,900,9536,6921
Bhusawal,MAHARASHTRA,96655,91095,81544,70559,942,852,11257,8558
Bid,MAHARASHTRA,75655,70582,61135,51036,933,843,12252,6778
Bidar,KARNATAKA,109435,102509,89472,74309,937,914,16824,9086
Bidhan Nagar,WEST BENGAL,111363,106960,97604,88281,960,967,35756,30107
Biharsharif,BIHAR,154915,141974,110247,79173,916,918,20487,7605
Bijapur,KARNATAKA,165122,161238,128615,111016,976,911,24355,12910
Bikaner,RAJASTHAN,340894,306910,259367,192296,900,901,44965,28404
Bilaspur,CHHATTISGARH,169738,160368,141169,119485,945,902,38607,28789
Bokaro Steel City,JHARKHAND,220088,193846,179188,130939,881,874,39496,21538
Bongaon,WEST BENGAL,56416,54252,48799,43454,962,927,6684,3602
Botad,GUJARAT,67778,62524,53275,41288,922,874,2997,1581
Brahmapur Town,ORISSA,185584,170239,159550,134268,917,898,32587,18195
Budaun,UTTAR PRADESH,83475,75746,56012,45902,907,882,10705,8499
Bulandshahr,UTTAR PRADESH,116923,105903,86408,66727,906,821,18503,14043
Bundi,RAJASTHAN,53299,49524,42642,32840,929,877,8081,5067
Burari,NCT OF DELHI,77767,67817,64125,49063,872,849,11136,6778
Burhanpur,MADHYA PRADESH,108234,102657,80909,68430,948,921,9325,5878
Buxar,BIHAR,54123,48468,42601,33151,896,879,8920,3544
Champdani,WEST BENGAL,59296,51687,46888,34995,872,929,4654,2513
Chandannagar,WEST BENGAL,84257,82692,73393,68179,981,943,17942,12991
Chandausi,UTTAR PRADESH,60238,54016,40323,32192,897,865,8436,7000
Chandigarh,CHANDIGARH,525226,435561,426071,317183,829,860,101491,87821
Chandrapur,MAHARASHTRA,165125,155911,142528,121434,944,906,21317,16369
Chapra,BIHAR,106250,95347,78956,62447,897,906,15710,7142
Chas,JHARKHAND,75027,66591,60459,44958,888,886,10431,4846
Chennai,TAMIL NADU,2357633,2323454,2004498,1845974,986,964,487428,392267
Chhattarpur,MADHYA PRADESH,70586,63040,55244,43910,893,859,12484,8323
Chhindwara,MADHYA PRADESH,70444,67822,59892,52640,963,946,16058,12175
Chikmagalur,KARNATAKA,58859,59637,49742,46844,1013,952,7441,5763
Chilakaluripet,ANDHRA PRADESH,50201,51349,36472,29864,1023,938,6302,3224
Chitradurga,KARNATAKA,70304,69610,58257,53257,990,943,10213,6644
Chittaurgarh,RAJASTHAN,60229,56180,48624,38321,933,882,9875,6958
Chittoor,ANDHRA PRADESH,76566,77200,63681,57413,1008,908,12973,8372
Churu,RAJASTHAN,61771,58075,46055,31696,940,919,5873,2883
Coimbatore,TAMIL NADU,531017,530430,457982,427489,999,963,87123,81022
Cuddalore,TAMIL NADU,85593,87768,72083,67305,1025,955,12022,9550
Cuttack,ORISSA,303530,302477,272257,235931,997,916,66347,43800
Dabgram,WEST BENGAL,60708,57756,42781,34149,951,949,1703,829
Dallo Pura,NCT OF DELHI,81425,73530,62799,48715,903,891,9918,7216
Damoh,MADHYA PRADESH,65133,59846,53052,42991,919,915,9740,6804
Darbhanga,BIHAR,154970,139146,115620,89583,898,905,26731,11874
Darjiling,WEST BENGAL,60114,60300,54710,52532,1003,903,8829,7490
Datia,MADHYA PRADESH,52931,47535,40482,30589,898,864,7960,4757
Davanagere,KARNATAKA,220544,214584,175747,155804,973,946,24921,15819
Deesa,GUJARAT,58724,52425,45479,32740,893,822,3946,1987
Dehradun,UTTARAKHAND,303411,275009,251832,211959,906,873,70607,65429
Dehri,BIHAR,72311,64757,56416,42552,896,920,10297,4483
Delhi,NCT OF DELHI,5871362,5136473,4776490,3806615,875,866,1210040,1011097
Delhi Cantonment,NCT OF DELHI,67703,48649,57144,36827,719,821,9653,7664
Deoghar,JHARKHAND,108243,94873,87540,66267,876,864,19215,7911
Deoli,NCT OF DELHI,91173,78237,72062,51105,858,877,8694,4352
Deoria,UTTAR PRADESH,67754,61816,56719,46083,912,908,15782,9424
Dewas,MADHYA PRADESH,150193,139245,122388,96489,927,901,17581,12267
Dhanbad,JHARKHAND,615589,545972,473787,346221,887,908,69321,35447
Dharmavaram,ANDHRA PRADESH,62186,59806,45025,34012,962,857,5236,2324
Dhaulpur,RAJASTHAN,67740,58402,49087,34318,862,818,7680,4102
Dhule,MAHARASHTRA,193854,182239,160511,138182,940,879,23320,14844
Dibrugarh,ASSAM,72044,66617,60782,53040,925,940,12225,8653
Dimapur,NAGALAND,65017,58760,51604,44042,904,966,7442,5460
Dinapur Nizamat,BIHAR,97129,85112,70786,52413,876,873,13707,6070
Dindigul,TAMIL NADU,102927,104298,88360,82770,1013,960,12660,10667
Dum Dum,WEST BENGAL,61039,56598,54153,49604,927,917,14288,10999
Durg,CHHATTISGARH,136537,132142,113866,96773,968,939,21409,17019
Durgapur,WEST BENGAL,294349,272588,247176,206428,926,946,47809,32251
Eluru,ANDHRA PRADESH,105707,108707,74521,70995,1028,1003,14252,9271
English Bazar,WEST BENGAL,115126,100957,82428,72447,877,781,17393,11590
Erode,TAMIL NADU,78094,78859,66307,60331,1010,972,11114,8501
Etah,UTTAR PRADESH,62966,55666,50001,40288,884,851,13031,8557
Etawah,UTTAR PRADESH,135829,120961,104612,84275,891,863,22962,15442
Faizabad,UTTAR PRADESH,87279,80265,70243,60457,920,903,17077,13581
Faridabad,HARYANA,750446,654207,592024,450144,872,845,123138,96836
Farrukhabad-cum-Fatehgarh,UTTAR PRADESH,145515,130239,101282,81074,895,865,18099,13061
Fatehpur,UTTAR PRADESH,101620,92181,74561,58857,907,863,15061,10015
Firozabad,UTTAR PRADESH,321624,282173,208434,156913,877,893,21265,14880
Firozpur,PUNJAB,58401,51690,43468,35147,885,839,7455,7484
Gadag-Betigeri,KARNATAKA,86165,86648,70035,62059,1006,935,9941,5985
Gandhidham,GUJARAT,132388,116317,104073,77180,879,909,14049,10382
Gandhinagar,GUJARAT,109479,98820,95640,81870,903,809,31129,21214
Ganganagar,RAJASTHAN,120929,103844,95374,71075,859,814,19007,15340
Gangapur City,RAJASTHAN,62910,56135,49231,32901,892,852,6727,3123
Gangawati,KARNATAKA,52678,52676,39027,31603,1000,956,4549,2378
Gaya,BIHAR,245764,217690,194377,152370,886,906,38831,17848
Ghazipur,UTTAR PRADESH,58126,52572,46530,37225,904,873,11418,7422
Giridih,JHARKHAND,59924,54523,46689,38208,910,895,10138,4974
Godhra,GUJARAT,73868,69258,60797,50774,938,920,7571,4482
Gokal Pur,NCT OF DELHI,64935,57003,51785,39119,878,847,9445,6548
Gonda,UTTAR PRADESH,58484,55869,45825,36914,955,898,10185,7027
Gondal,GUJARAT,58417,53647,47112,39027,918,823,6003,4554
Gondiya,MAHARASHTRA,66756,66133,58721,53769,991,929,10175,8388
Gorakhpur,UTTAR PRADESH,353550,317498,290760,232681,898,887,73116,50607
Hyderabad,ANDHRA PRADESH,3500802,3309168,2688111,2359594,945,942,685402,478747
Mumbai,MAHARASHTRA,6736815,5741632,5727774,4509812,852,902,964964,837407
Noida,UTTAR PRADESH,58662,49014,45878,33879,836,823,11844,8947
Gudivada,ANDHRA PRADESH,58941,59348,46529,42480,1007,959,7411,5112
Gulbarga,KARNATAKA,272451,259580,210817,176653,953,917,40331,24708
Guna,MADHYA PRADESH,94645,86333,73169,55294,912,877,13416,8688
Guntakal,ANDHRA PRADESH,62695,63784,47471,38726,1017,942,7398,4228
Guntur,ANDHRA PRADESH,323151,328231,252677,227391,1016,963,58194,36238
Gurgaon,HARYANA,475612,401212,373164,289805,844,846,126456,107361
Guwahati,ASSAM,502255,461174,426401,372325,918,1009,107093,76972
Gwalior,MADHYA PRADESH,560887,492618,452788,347537,878,827,100039,69225
Habra,WEST BENGAL,76510,73165,66495,59305,956,933,8682,5142
Hajipur,BIHAR,78561,68565,57537,43154,873,879,11371,4948
Haldia,WEST BENGAL,104852,95910,88125,71859,915,956,10784,6703
Haldwani-cum-Kathgodam,UTTARAKHAND,81918,74142,60678,50732,905,903,17783,16546
Halisahar,WEST BENGAL,66654,60239,56921,46868,904,923,6680,4122
Hanumangarh,RAJASTHAN,79817,71287,59883,44402,893,848,9978,6892
Haora,WEST BENGAL,560577,511584,477781,411036,913,924,91001,60489
Hapur,UTTAR PRADESH,139694,123107,98394,71931,881,852,16007,12465
Hardoi,UTTAR PRADESH,66752,60138,54470,44747,901,878,17644,11522
Hardwar,UTTARAKHAND,120201,105034,94508,74863,874,873,20223,18612
Hassan,KARNATAKA,66380,67343,55610,53954,1015,944,11784,9258
Hastsal,NCT OF DELHI,95068,81965,75259,54394,862,872,8095,4806
Hathras,UTTAR PRADESH,73376,64133,53918,41606,874,834,10545,8067
Hazaribag,JHARKHAND,74267,68227,61630,52063,919,897,18311,10578
Hindaun,RAJASTHAN,56178,49512,41993,27115,881,852,5291,2673
Hindupur,ANDHRA PRADESH,76625,75210,56177,47361,982,974,6926,4124
Hinganghat,MAHARASHTRA,51881,48535,45728,39871,936,871,6684,4572
Hisar,HARYANA,163338,137911,125172,91806,844,860,27629,21519
Hoshangabad,MADHYA PRADESH,61610,56346,50943,41374,915,868,11072,7908
Hoshiarpur,PUNJAB,88290,80153,72533,62561,908,834,13069,13560
Hospet,KARNATAKA,102923,103236,77678,66098,1003,960,10567,6989
Hosur,TAMIL NADU,59411,57410,48225,43133,966,970,8254,7276
Hubli-Dharwad,KARNATAKA,475980,467877,389290,347216,983,949,67478,46386
Hugli-Chinsurah,WEST BENGAL,88952,88257,78780,73657,992,980,17939,13297
Ichalkaranji,MAHARASHTRA,149691,137879,123878,99874,921,889,13707,8937
Imphal,MANIPUR ,128931,136055,110809,108452,1055,939,33950,29965
Indore,MADHYA PRADESH,1020883,939748,827975,688459,921,886,174270,139255
Jabalpur,MADHYA PRADESH,546561,507775,453820,387579,929,901,92225,77486
Jagadhri,HARYANA,67752,57163,53660,41809,844,822,9805,8933
Jagdalpur,CHHATTISGARH,63910,61435,51905,43398,961,919,9289,6934
Jaipur,RAJASTHAN,1619280,1454070,1282140,990584,898,854,319107,214041
Jalandhar,PUNJAB,458015,404181,363500,302125,882,866,63657,65267
Jalgaon,MAHARASHTRA,241228,219240,198426,165352,909,806,33154,22161
Jalna,MAHARASHTRA,147714,137635,116300,93231,932,886,15360,8599
Jalpaiguri,WEST BENGAL,53749,53602,46484,43971,997,958,11543,8709
Jamalpur,BIHAR,56231,48990,45961,35231,871,867,7165,3473
Jammu,JAMMU & KASHMIR,265346,238344,225410,187956,898,829,65587,55977
Jamnagar,GUJARAT,276202,253106,216330,178589,916,862,29513,22536
Jamshedpur,JHARKHAND,327912,301747,270876,224017,920,887,64276,46686
Jamuria,WEST BENGAL,75574,69397,54399,38753,918,947,3961,1475
Jaunpur,UTTAR PRADESH,88704,79424,68005,55240,895,908,14851,10020
Jehanabad,BIHAR,54868,47588,39889,30163,867,884,6620,2281
Jetpur Navagadh,GUJARAT,62331,56219,49677,39433,902,839,4677,4169
Jhansi,UTTAR PRADESH,268101,239192,214375,167396,892,868,45368,33389
Jhunjhunun,RAJASTHAN,61906,57060,44962,31221,922,864,6482,3921
Jind,HARYANA,88561,77664,71129,52138,877,831,12601,8907
Jodhpur,RAJASTHAN,544057,489861,422120,317891,900,898,84420,56502
Junagadh,GUJARAT,164091,156159,139317,120246,952,868,20964,15946
Kadapa,ANDHRA PRADESH,171797,170026,131847,110693,990,923,27337,14660
Kaithal,HARYANA,76657,67976,59162,44167,887,823,10125,7970
Kakinada,ANDHRA PRADESH,152596,159659,117829,113730,1046,973,29439,18384
Kalol,GUJARAT,59380,52746,49439,39329,888,831,8671,5537
Kalyani,WEST BENGAL,50867,49753,43591,38962,978,955,9775,7682
